gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Abhd11,0.035728312,0.83920432,0.027200793,0.824859185,0.032125934,0.778799839,0.023598414,0.807546794,68758
Abhd12,0.011051121,0.969750536,0.081382609,0.654758124,0.764991301,0.000480518,0.835322789,7.92E-05,76192
Abhd13,NA,NA,0.613590006,0.037686329,NA,NA,NA,NA,68904
Abhd14b,NA,NA,0.381366681,0.459887026,NA,NA,NA,NA,76491
Abhd16a,0.050907051,0.831392972,-0.213825282,0.154679906,-0.525628624,0.002732959,-0.790360957,4.33E-05,193742
Abhd4,-0.089041086,0.717210026,NA,NA,NA,NA,NA,NA,105501
Abhd5,0.575801022,0.122491668,0.588135959,0.036497697,-0.55064877,0.022214336,-0.538313833,0.012492581,67469
Abi1,-1.484131936,0.000359419,-3.910561174,9.17E-10,3.476387488,7.25E-10,1.049958249,3.61E-06,11308
Abitram,0.323155801,0.219964248,0.36537601,0.06692423,-1.417045373,5.28E-06,-1.374825164,1.88E-06,230234
Abr,0.312083465,0.157108928,0.338305824,0.042169844,-0.573323415,0.000981714,-0.547101055,0.000495802,109934
Abracl,-1.136705237,0.334221032,-0.864800621,0.29806304,1.568071566,0.063990486,1.839976182,0.018114355,73112
Abraxas1,-0.223165515,0.708971703,0.059351249,0.899317242,1.988128073,0.0002505,2.270644837,2.63E-05,70681
Abraxas2,0.111862164,0.710846043,0.148037419,0.475674283,-0.018214672,0.935194945,0.017960583,0.92386374,109359
Abtb2,0.539272943,0.262889296,0.489362465,0.148501282,-1.984904269,5.68E-05,-2.034814747,1.35E-05,99382
Acaa1a,-0.296281315,0.389556611,-0.3300073,0.176694022,0.089769056,0.718761967,0.056043072,0.795345048,113868
Acaa2,-0.514007755,0.214257261,-0.601930961,0.058513833,0.741909802,0.015475505,0.653986596,0.014660548,52538
Acaca,0.32726203,0.114455885,0.289779361,0.042877289,-0.257432808,0.039799117,-0.294915478,0.010751421,107476
Acad10,0.318980977,0.138731085,0.18903488,0.158005891,0.063098398,0.638105415,-0.0668477,0.563049353,71985
Acad11,0.297255557,0.236992952,0.359884282,0.063003173,-0.207415651,0.226840487,-0.144786926,0.331276636,102632
Acad12,-0.258874229,0.377434702,-0.008289781,0.973909868,0.079802822,0.706114026,0.33038727,0.072362014,338350
Acad8,-0.064583525,0.713910174,-0.163256232,0.170769753,0.39372799,0.004055127,0.295055283,0.009846712,66948
Acad9,0.11158432,0.368493926,0.059898921,0.505039194,-0.005618569,0.954307237,-0.057303967,0.44626641,229211
Acadl,-0.106829894,0.559321476,0.079494292,0.545759629,0.664174199,0.000152392,0.850498385,5.75E-06,11363
Acadm,-0.198755342,0.403225824,-0.05734682,0.7548349,0.263590635,0.11609226,0.404999158,0.01146475,11364
Acads,-0.123148932,0.512456588,-0.228130489,0.097264037,-0.005745403,0.969295049,-0.11072696,0.324770141,11409
Acadsb,0.283046463,0.349040228,0.281621683,0.188031118,-0.055391386,0.80622251,-0.056816167,0.762701524,66885
Acadvl,-0.469356528,0.168545741,-0.362174933,0.11340402,-0.144896293,0.50855672,-0.037714697,0.849075947,11370
Acan,-0.048328301,0.927522002,-0.072224227,0.839208021,0.335103868,0.276398763,0.311207942,0.246626005,11595
Acap1,0.304695559,0.205027583,0.252285269,0.131916175,0.318420601,0.057480867,0.266010312,0.068031661,216859
Acap2,0.013748866,0.940555975,0.176802612,0.108740211,-0.920414964,2.17E-06,-0.757361218,3.32E-06,78618
Acat1,-0.400172196,0.371887456,-0.50024497,0.124413421,0.266529256,0.391760786,0.166456481,0.544178028,110446
Acat2,0.083052077,0.597286383,0.204722018,0.080780691,-0.437559327,0.001120899,-0.315889385,0.003886645,110460
Acbd3,0.274772613,0.196952565,0.318360011,0.053570441,-0.127887257,0.367877873,-0.084299858,0.498798605,170760
Acbd5,-0.01737654,0.951475722,0.115980924,0.49128216,-0.213226832,0.190796897,-0.079869367,0.576691301,74159
Acbd6,0.096182703,0.563941201,0.084052243,0.47524284,0.657454383,7.86E-05,0.645323923,2.77E-05,72482
Ace,NA,NA,-0.135850364,0.616140633,NA,NA,NA,NA,11421
Ache,-0.271293262,0.397485854,NA,NA,NA,NA,NA,NA,11423
Acin1,-0.193869841,0.249940599,-0.34446936,0.030892536,0.007093057,0.956419671,-0.143506462,0.156663103,56215
