gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Arpc2,-0.31169897,0.480027419,0.665428151,0.587536572,0.470137829,0.512852857,-0.506989292,0.253792824,76709
Arpc4,0.521607742,0.52128681,0.936992364,0.636038213,0.261271528,0.845649522,-0.154113093,0.883603821,68089
Asl,0.153738235,0.847742951,-0.888304438,0.636038213,-0.436204259,0.710448495,0.605838414,0.483047632,109900
Atic,-1.046393555,0.238759786,-0.502788772,0.74013472,-0.528435003,0.680889214,-1.072039786,0.223583198,108147
Atp1a1,-1.757183524,0.07808912,0.528419975,0.74013472,1.319516031,0.323901929,-0.966087468,0.266329453,11928
Atp2a3,-0.798199148,0.287742365,-0.945222573,0.636038213,-0.244887688,0.845649522,-0.097864263,0.924295507,53313
Atp5f1a,-1.965879625,0.124699537,0.300390835,0.873783619,1.393732105,0.471388442,-0.872538356,0.457812826,11946
Atp5f1b,-2.528966668,0.062299542,0.00434585,0.997159878,1.521469213,0.427810636,-1.011843305,0.374867729,11947
Atp5mf,-0.95774582,0.57424238,-0.162026967,0.962435979,1.409920218,0.581644312,0.614201364,0.776269623,57423
Atp5po,-1.217031388,0.178196233,0.295661212,0.846241099,1.068421675,0.471388442,-0.444270926,0.644449544,28080
Azgp1,-0.067257068,0.854469103,-0.125694231,0.846241099,0.050619036,0.936684623,0.109056199,0.813091489,12007
B4galt1,0.570131918,0.161556534,-0.092281022,0.873783619,-0.052596111,0.936684623,0.60981683,0.127147357,14595
Bin2,-0.48287445,0.546575197,0.564468205,0.735333528,0.841801032,0.518685,-0.205541623,0.848279433,668218
Blvrb,0.769079891,0.371786395,0.066315637,0.970059986,-0.622524641,0.628056035,0.080239613,0.947452472,233016
Bpgm,-1.59781404,0.167814326,-0.822043788,0.733939076,0.128253025,0.943267589,-0.647517227,0.594333531,12183
Btd,-0.442873302,0.492372332,-0.68527144,0.636038213,-0.169193571,0.876729007,0.073204566,0.933732459,26363
C1qa,0.676855383,0.531955923,-0.73514498,0.73959492,0.972478719,0.541982196,2.384479082,0.055077733,12259
C1ra,1.251813698,0.134990376,-0.047548169,0.981106434,0.438349286,0.69422053,1.737711154,0.05003375,50909
C1sa,0.282779064,0.615395306,-0.295608677,0.766611821,0.262350224,0.789102646,0.840737965,0.169026439,50908
C2,2.528478433,0.158877318,0.990175762,0.74013472,-0.508304787,0.849113941,1.029997883,0.566520592,12263
C3,0.081656116,0.828841118,0.219895362,0.74586711,0.704536694,0.235861321,0.566297447,0.162298197,12266
C4b,-0.05633612,0.938877092,0.183676919,0.870161547,0.463120036,0.638044596,0.223106997,0.778052847,12268
C4bpa,1.678177703,0.012085753,0.680003094,0.636038213,-0.278196367,0.710448495,0.719978243,0.180477364,12269
C5,0.487208326,0.447566926,0.377740976,0.74013472,-0.117409502,0.922086131,-0.007942152,0.997502492,15139
C6,1.947566638,0.293651446,0.474302962,0.873783619,-0.187435134,0.944729885,1.285828542,0.516292747,12274
C7,0.654827551,0.735664464,-0.590453015,0.865807769,0.103107903,0.969177802,1.348388468,0.523869197,109828
C8a,2.285375462,0.07808912,0.211220922,0.904925449,0.1147284,0.944729885,2.18888294,0.071639815,230558
C8b,2.390452105,0.075281402,0.230445283,0.900603472,0.206828736,0.922086131,2.366835558,0.063918744,110382
C8g,1.878118755,0.129548072,0.530010226,0.787390677,0.185183667,0.922086131,1.533292195,0.181979531,69379
C9,1.130067276,0.17696731,0.372479964,0.789988466,-0.291450315,0.834297072,0.466136997,0.595271258,12279
Ca1,-1.775158703,0.129548072,-0.50621862,0.787390677,-0.63067898,0.680889214,-1.899619063,0.095935207,12346
Ca3,-1.227348656,0.518699077,-0.885550936,0.789988466,0.107878997,0.967382967,-0.233918723,0.931576363,12350
Cand1,-1.049091821,0.263607262,-0.400648496,0.799688365,-0.537948781,0.682863402,-1.186392106,0.208149886,71902
Cap1,-0.732408458,0.469875778,0.492230506,0.770585093,1.003716204,0.518685,-0.22092276,0.857851596,12331
Capn1,-0.636785044,0.330796731,-0.036187761,0.984555711,-0.519575808,0.581644312,-1.120173091,0.101870887,12333
Capza1,-0.456715442,0.517029784,0.609168172,0.700598262,0.605205485,0.550487816,-0.460678128,0.533465721,12340
Cat,-1.409095831,0.147407114,-0.747608015,0.701593182,-0.430685112,0.751554982,-1.092172928,0.230912617,12359
Cavin2,-0.559457038,0.504788574,0.700372876,0.701593182,1.092044253,0.433456962,-0.167785662,0.870889014,20324
Cct3,1.28569578,0.545589126,-1.921863434,0.694654669,-2.533358523,0.496859477,0.674200691,0.801666384,12462
Cct4,0.083378441,0.895463471,-0.412151738,0.73959492,-0.516034227,0.565261614,-0.020504047,0.994323375,12464
Cct5,-0.752903975,0.192945295,0.051299077,0.962435979,-0.135934925,0.892159792,-0.940137978,0.112846855,12465
Cct6a,-0.081079191,0.942336153,0.122659238,0.94074683,0.635918227,0.676295401,0.432179798,0.710588032,12466
